iter	Passed	Remaining
643	1192	658
644	1193	656
645	1194	654
646	1195	652
647	1196	649
648	1198	648
649	1199	645
650	1200	643
651	1202	641
652	1204	639
653	1205	637
654	1207	635
655	1210	634
656	1214	634
657	1221	634
658	1223	632
659	1224	630
660	1227	629
661	1229	627
662	1230	625
663	1234	624
664	1235	622
665	1237	620
666	1238	618
667	1241	617
668	1245	616
669	1249	615
670	1250	613
671	1253	611
672	1254	609
673	1258	608
674	1259	606
675	1263	605
676	1264	603
677	1265	600
678	1268	599
679	1269	597
680	1270	595
681	1274	594
682	1276	592
683	1279	591
684	1281	589
685	1282	587
686	1284	585
687	1286	583
688	1288	581
689	1291	580
690	1292	577
691	1294	576
692	1295	573
693	1296	571
694	1297	569
695	1297	566
696	1299	564
697	1300	562
698	1301	560
699	1302	558
700	1304	556
701	1308	555
702	1312	554
703	1313	552
704	1314	550
705	1315	547
706	1316	545
707	1317	543
708	1319	541
709	1320	539
710	1321	537
711	1322	534
712	1323	532
713	1325	530
714	1327	528
715	1328	526
716	1330	525
717	1331	523
718	1332	520
719	1333	518
720	1334	516
721	1335	514
722	1337	512
723	1338	510
724	1339	508
725	1340	506
726	1341	503
727	1342	501
728	1343	499
729	1344	497
730	1345	495
731	1347	493
732	1348	491
733	1348	488
734	1349	486
735	1350	484
736	1351	482
737	1352	480
738	1355	478
739	1357	477
740	1359	475
741	1360	472
742	1361	470
743	1362	468
744	1362	466
745	1363	464
746	1364	462
747	1365	459
748	1366	457
749	1367	455
750	1367	453
751	1370	451
752	1374	450
753	1376	449
754	1377	447
755	1378	445
756	1380	443
757	1381	440
758	1382	438
759	1383	436
760	1385	435
761	1389	434
762	1391	432
763	1392	430
764	1394	428
765	1396	426
766	1397	424
767	1398	422
768	1399	420
769	1400	418
770	1401	416
771	1403	414
772	1404	412
773	1405	410
774	1406	408
775	1409	406
776	1410	404
777	1411	402
778	1413	401
779	1414	399
780	1415	397
781	1417	395
782	1418	393
783	1419	391
784	1420	389
785	1421	386
786	1422	385
787	1424	383
788	1425	381
789	1426	379
790	1427	377
791	1429	375
792	1430	373
793	1432	371
794	1433	369
795	1434	367
796	1435	365
797	1439	364
798	1443	363
799	1446	361
800	1448	359
801	1449	357
802	1450	355
803	1451	353
804	1453	351
805	1454	350
806	1456	348
807	1460	346
808	1463	345
809	1465	343
810	1467	341
811	1468	339
812	1469	337
813	1471	336
814	1472	334
815	1473	332
816	1474	330
817	1478	328
818	1479	327
819	1480	325
820	1483	323
821	1484	321
822	1486	319
823	1487	317
824	1490	316
825	1493	314
826	1494	312
827	1497	311
828	1498	309
829	1499	307
830	1501	305
831	1502	303
832	1503	301
833	1504	299
834	1507	297
835	1508	295
836	1511	294
837	1513	292
838	1514	290
839	1516	288
840	1517	286
841	1519	285
842	1521	283
843	1522	281
844	1524	279
845	1526	277
846	1528	276
847	1529	274
848	1530	272
849	1531	270
850	1532	268
851	1533	266
852	1533	264
853	1540	263
854	1541	261
855	1543	259
856	1545	257
857	1546	256
858	1547	254
859	1548	252
860	1549	250
861	1550	248
862	1550	246
863	1551	244
864	1553	242
865	1554	240
866	1556	238
867	1557	236
868	1561	235
869	1564	233
870	1566	232
871	1568	230
872	1570	228
873	1574	226
874	1578	225
875	1580	223
876	1585	222
877	1590	220
878	1598	220
879	1599	218
880	1600	216
881	1600	214
882	1601	212
883	1602	210
884	1603	208
885	1606	206
886	1611	205
887	1615	203
888	1617	201
889	1618	199
890	1619	198
891	1622	196
892	1627	195
893	1628	193
894	1631	191
895	1632	189
896	1634	187
897	1634	185
898	1635	183
899	1636	181
900	1642	180
901	1645	178
902	1649	177
903	1650	175
904	1651	173
905	1652	171
906	1656	169
907	1663	168
908	1664	166
909	1665	164
910	1668	163
911	1675	161
912	1677	159
913	1681	158
914	1682	156
915	1683	154
916	1685	152
917	1686	150
918	1689	148
919	1691	147
920	1693	145
921	1694	143
922	1697	141
923	1698	139
924	1700	137
925	1703	136
926	1705	134
927	1709	132
928	1710	130
929	1711	128
930	1713	126
931	1714	125
932	1715	123
933	1716	121
934	1719	119
935	1726	118
936	1728	116
937	1729	114
938	1734	112
939	1740	111
940	1741	109
941	1743	107
942	1744	105
943	1746	103
944	1748	101
945	1751	99
946	1757	98
947	1759	96
948	1760	94
949	1761	92
950	1762	90
951	1766	89
952	1767	87
953	1768	85
954	1770	83
955	1775	81
956	1776	79
957	1778	77
958	1779	76
959	1782	74
960	1784	72
961	1787	70
962	1789	68
963	1790	66
964	1792	64
965	1793	63
966	1794	61
967	1798	59
968	1800	57
969	1801	55
970	1804	53
971	1807	52
972	1809	50
973	1810	48
974	1811	46
975	1812	44
976	1813	42
977	1815	40
978	1817	38
979	1822	37
980	1823	35
981	1826	33
982	1828	31
983	1831	29
984	1834	27
985	1835	26
986	1838	24
987	1839	22
988	1840	20
989	1841	18
990	1843	16
991	1846	14
992	1849	13
993	1850	11
994	1851	9
995	1854	7
996	1855	5
997	1856	3
998	1857	1
999	1859	0
