iter	Logloss
0	0.6581197429
1	0.6285242894
2	0.6119250954
3	0.5859001236
4	0.563990172
5	0.543157289
6	0.5258247804
7	0.5095500652
8	0.4990191875
9	0.4855626088
10	0.4782983406
11	0.4691227445
12	0.4609064042
13	0.4532242898
14	0.4489882822
15	0.4428980519
16	0.4365070616
17	0.4296145225
18	0.4252348145
19	0.4218828874
20	0.4170107165
21	0.4133869038
22	0.4090690779
23	0.4055733917
24	0.4033837463
25	0.4010316834
26	0.3991036341
27	0.397151311
28	0.3939400251
29	0.3909708004
30	0.3886744185
31	0.3859618562
32	0.3838325492
33	0.3824038645
34	0.3805224798
35	0.3784895883
36	0.3767282913
37	0.3757331982
38	0.3742560788
39	0.3730208545
40	0.3717450613
41	0.3705282215
42	0.3700288795
43	0.3689787334
44	0.3679901502
45	0.3672473461
46	0.3663508098
47	0.3656040017
48	0.3649675396
49	0.3648744138
50	0.363782467
51	0.3636686917
52	0.3627043688
53	0.3619935154
54	0.3609456772
55	0.3605242367
56	0.3598371028
57	0.3596438671
58	0.3587219005
59	0.3580898462
60	0.3570557615
61	0.3566997963
62	0.3560102842
63	0.35521558
64	0.3548157034
65	0.3541967909
66	0.3534103637
67	0.3529795046
68	0.3516599377
69	0.3512969044
70	0.3500176159
71	0.3493619236
72	0.3484991229
73	0.3475555728
74	0.3468173616
75	0.3462055486
76	0.3456130368
77	0.3445753748
78	0.3445649664
79	0.343926186
80	0.3437155576
81	0.3430745362
82	0.3424731728
83	0.3418893339
84	0.3414972586
85	0.3410042962
86	0.3407406102
87	0.3402348377
88	0.3396477609
89	0.3396458435
90	0.3392611219
91	0.3391328281
92	0.3381272596
93	0.3376188627
94	0.3370665785
95	0.3368953109
96	0.3362729901
97	0.335788058
98	0.3350339643
99	0.3348927071
100	0.3342606586
101	0.3338892045
102	0.3335429093
103	0.3332151152
104	0.3326241904
105	0.3324400969
106	0.3320841387
107	0.3314902917
108	0.3309455971
109	0.3304528324
110	0.3302549296
111	0.3302137055
112	0.3297204261
113	0.3294550301
114	0.3288237268
115	0.3283782124
116	0.3277289766
117	0.3272714408
118	0.3270948941
119	0.3267973058
120	0.3263479559
121	0.3257220689
122	0.3252212827
123	0.3245223733
124	0.3239975714
125	0.3238356534
126	0.3234835315
127	0.3233381339
128	0.3230968329
129	0.3226568392
130	0.322226782
131	0.3218277961
132	0.321085091
133	0.3203064254
134	0.3197210565
135	0.3191546094
136	0.3186273526
137	0.3183935952
138	0.3181412423
139	0.3178873839
140	0.3173048268
141	0.3170457171
142	0.316546743
143	0.3161455729
144	0.3157972104
145	0.31500026
146	0.3142781644
147	0.3140766622
148	0.3137421415
149	0.3134810686
150	0.3132032798
151	0.3129932918
152	0.31224388
153	0.3121365657
154	0.3118659476
155	0.3112865813
156	0.3109456611
157	0.3103824076
158	0.3102248521
159	0.3098048462
160	0.3093416756
161	0.3085545775
162	0.3084495213
163	0.3081941477
164	0.3080976956
165	0.3077989578
166	0.3074292739
167	0.3066729729
168	0.3065848412
169	0.3060910235
170	0.3058527332
171	0.3057317524
172	0.3054207334
173	0.3052679119
174	0.3048066538
175	0.3043342231
176	0.3037971974
177	0.3037084319
178	0.3034213463
179	0.3032617942
180	0.3031582488
181	0.3030173074
182	0.3025186689
183	0.3024754281
184	0.3020474129
185	0.3018042636
186	0.3016319776
187	0.3014108062
188	0.3011983025
189	0.3007946696
190	0.3005996819
191	0.3002434788
192	0.2999878983
193	0.2993686071
194	0.2990190459
195	0.2989665485
196	0.2985627786
197	0.2985171375
198	0.2983932698
199	0.2982033018
200	0.2980178766
201	0.2979277625
202	0.2978312126
203	0.2975829229
204	0.2975105168
205	0.2973310249
206	0.2972481723
207	0.2969873741
208	0.2968000942
209	0.2966876574
210	0.2962609476
211	0.2961837482
212	0.2958638145
213	0.2958085863
214	0.2955007797
215	0.2952280223
216	0.2948906289
217	0.2947348737
218	0.2946998041
219	0.2940720611
220	0.2939329624
221	0.2932666355
222	0.2926850182
223	0.2924523603
224	0.2921136637
225	0.2918275167
226	0.2916175358
227	0.2913866953
228	0.291319875
229	0.2910746819
230	0.2905872119
231	0.2901283797
232	0.2898249947
233	0.2894597942
234	0.2893434066
235	0.2891435656
236	0.2890379893
237	0.2888234853
238	0.2882990459
239	0.2878739492
240	0.2878484582
241	0.2877966564
242	0.287671303
243	0.2875121445
244	0.2873216876
245	0.2872325973
246	0.2871582647
247	0.2869030142
248	0.2865842102
249	0.2863580483
250	0.2862019415
251	0.2860331145
252	0.2855469539
253	0.2854764264
254	0.2853176593
255	0.2852211811
256	0.2852074828
257	0.285032348
258	0.2849207666
259	0.284577056
260	0.2844260828
261	0.283839861
262	0.2838166301
263	0.2837754885
264	0.2836892223
265	0.2835425984
266	0.2833537551
267	0.2829723575
268	0.2828051749
269	0.2825609605
270	0.2822350237
271	0.2820272243
272	0.2818627017
273	0.2817440529
274	0.281452853
275	0.2814220299
276	0.2812689343
277	0.2809592631
278	0.2808479618
279	0.280494378
280	0.2802840626
281	0.2802313897
282	0.2800079083
283	0.2796763789
284	0.2793521868
285	0.2790683815
286	0.2787167311
287	0.2784481238
288	0.2782376912
289	0.2781592981
290	0.2779993365
291	0.2776559941
292	0.2775494788
293	0.2771916117
294	0.2770442034
295	0.2768719365
296	0.2764371209
297	0.2761613698
298	0.2758732791
299	0.2757430677
300	0.2754793837
301	0.275382237
302	0.2753644812
303	0.2752924017
304	0.275158026
305	0.2751317337
306	0.2750949474
307	0.2750513823
308	0.2749959083
309	0.2748608582
310	0.2747739471
311	0.2745552475
312	0.2742467987
313	0.2738858398
314	0.2736710049
315	0.2736451523
316	0.2734628105
317	0.2732987908
318	0.2732012607
319	0.273000567
320	0.272844795
321	0.2728202319
322	0.2725343235
323	0.2725185173
324	0.2723968711
325	0.2722291167
326	0.2720149561
327	0.2718946495
328	0.2716390333
329	0.2714682556
330	0.2713819246
331	0.2713488627
332	0.2710906008
333	0.2708269001
334	0.270627902
335	0.2703418638
336	0.270214523
337	0.2700733322
338	0.2697759182
339	0.2696355232
340	0.2693739712
341	0.2693081884
342	0.2690293484
343	0.2689024349
344	0.2687842415
345	0.2687622286
346	0.2686787939
347	0.2685582749
348	0.2684594423
349	0.2683873749
350	0.2683730382
351	0.2682876614
352	0.2680592298
353	0.2679839416
354	0.267832085
355	0.2676051019
356	0.2674446237
357	0.2674104433
358	0.267262935
359	0.2670340634
360	0.2668538761
361	0.2666887611
362	0.2666032355
363	0.2663659944
364	0.2661883985
365	0.266118823
366	0.265998121
367	0.2658744171
368	0.2658371118
369	0.2657139042
370	0.2656863251
371	0.2654690566
372	0.2653383435
373	0.2652723642
374	0.2651301304
375	0.2650494719
376	0.2647169939
377	0.2644104034
378	0.2643877956
379	0.2641022573
380	0.2638805794
381	0.2636062503
382	0.2634400586
383	0.2632849774
384	0.2631487608
385	0.2629309962
386	0.2628273994
387	0.2627977958
388	0.2626102357
389	0.2624114275
390	0.2623444585
391	0.2622900758
392	0.2621514875
393	0.2620699265
394	0.2619924071
395	0.2617906071
396	0.2616171159
397	0.261513647
398	0.2613958198
399	0.2613503805
400	0.2612822777
401	0.2611163192
402	0.2610184308
403	0.260931538
404	0.2607270616
405	0.2606086615
406	0.2605511493
407	0.2605184699
408	0.2603394728
409	0.260127129
410	0.2600367763
411	0.2598285291
412	0.2597431488
413	0.259692838
414	0.2594615268
415	0.2594069657
416	0.2593124399
417	0.2591367013
418	0.2590674436
419	0.2588938343
420	0.2587920019
421	0.2587203547
422	0.2586048386
423	0.2584420252
424	0.2583387997
425	0.2580776947
426	0.2579205847
427	0.257812426
428	0.2575960998
429	0.2575906845
430	0.257553864
431	0.2575198093
432	0.2574196462
433	0.2573147489
434	0.2571300738
435	0.2570148316
436	0.2568196168
437	0.2567765602
438	0.2566226822
439	0.2564603653
440	0.2562619606
441	0.2561202448
442	0.2560383192
443	0.2559906798
444	0.2559243081
445	0.2558407342
446	0.2557842524
447	0.2557025778
448	0.2555847158
449	0.255453262
450	0.2553594848
451	0.2552084994
452	0.2551930501
453	0.2549761953
454	0.2548823515
455	0.2548332545
456	0.2548155787
457	0.2547703549
458	0.2547251913
459	0.2545644735
460	0.2545080716
461	0.2544923304
462	0.2544329073
463	0.2543058476
464	0.2542191333
465	0.254192123
466	0.2541473076
467	0.2540058947
468	0.2538877937
469	0.2536793919
470	0.2535984177
471	0.2535425474
472	0.2534713891
473	0.2533288511
474	0.2532863505
475	0.2532582551
476	0.2531203315
477	0.2530129228
478	0.2528708462
479	0.2528005688
480	0.252759421
481	0.2526567195
482	0.2524707254
483	0.2524582161
484	0.2524258002
485	0.2523003447
486	0.2522502807
487	0.2520869824
488	0.2519480139
489	0.2518745634
490	0.2516732481
491	0.2516212039
492	0.2514518868
493	0.251442942
494	0.2513325811
495	0.2512936691
496	0.2512466901
497	0.2512027342
498	0.2511230197
499	0.2510707886
500	0.2510469763
501	0.2508607905
502	0.250810377
503	0.2507583631
504	0.2505441196
505	0.2504131168
506	0.2502432923
507	0.2502149131
508	0.250109021
509	0.2499976705
510	0.2499158129
511	0.2497955627
512	0.2497251582
513	0.2496976446
514	0.2495439486
515	0.2493581043
516	0.2492476273
517	0.2491014089
518	0.2489241238
519	0.2488877461
520	0.2488209668
521	0.2487418941
522	0.2486969732
523	0.2486339727
524	0.2485355199
525	0.2485282333
526	0.2484548998
527	0.2483995508
528	0.2483456785
529	0.2482806486
530	0.2482478401
531	0.2482229748
532	0.2481296396
533	0.2480699505
534	0.248038693
535	0.2479356381
536	0.247905836
537	0.247858507
538	0.247808723
539	0.247700202
540	0.2476706137
541	0.2476166865
542	0.2475328025
543	0.2473700612
544	0.2473430883
545	0.24730569
546	0.2471849256
547	0.2471570778
548	0.2471191748
549	0.247112739
550	0.2470372804
551	0.2470282483
552	0.2470183474
553	0.2469701565
554	0.2469250469
555	0.2468845016
556	0.246824881
557	0.2468081004
558	0.2466910566
559	0.2465707171
560	0.2464902953
561	0.2463986343
562	0.2462678966
563	0.2461193455
564	0.2460787913
565	0.2459693739
566	0.2458872628
567	0.245850201
568	0.2458159707
569	0.245777217
570	0.2457234409
571	0.245644861
572	0.2455785706
573	0.24555766
574	0.2455263782
575	0.2454464835
576	0.245326252
577	0.245272179
578	0.2452122973
579	0.2451026284
580	0.2450857868
581	0.2449481945
582	0.2448968897
583	0.2447771077
584	0.2447378171
585	0.2446947463
586	0.2446455154
587	0.2445732129
588	0.2445426391
589	0.2444776777
590	0.2443748803
591	0.2442173058
592	0.2441752484
593	0.2440813774
594	0.243957736
595	0.2438424087
596	0.2436686416
597	0.2435694585
598	0.2434787068
599	0.243449246
600	0.2434234686
601	0.2433804116
602	0.2433225092
603	0.243287658
604	0.2432565558
605	0.2432005482
606	0.2431374357
607	0.2429810444
608	0.2429554027
609	0.2429128881
610	0.2428710189
611	0.2427665308
612	0.2427192681
613	0.2426796995
614	0.2426132483
615	0.2425819655
616	0.2425757662
617	0.2424576232
618	0.2424252121
619	0.242386017
620	0.242292219
621	0.2422593005
622	0.2421430971
623	0.242033846
624	0.2418911579
625	0.2417850177
626	0.2417470717
627	0.2417135957
628	0.2416687155
629	0.2415470401
630	0.24151508
631	0.2414543226
632	0.2414027982
633	0.2413186643
634	0.2412330292
635	0.2411987439
636	0.2411478343
637	0.2410550295
638	0.2409346794
639	0.2408560397
640	0.2407985334
641	0.2407867848
642	0.2407779304
643	0.2407729773
644	0.2407340892
645	0.2406935733
646	0.240672218
647	0.2406257585
648	0.2405677843
649	0.2405474698
650	0.2405300459
651	0.2405237037
652	0.2404866612
653	0.24045469
654	0.2403463236
655	0.2402853976
656	0.2402328541
657	0.2401534199
658	0.2401257218
659	0.2401143155
660	0.2400477526
661	0.2400152221
662	0.2399601247
663	0.23985186
664	0.2398052629
665	0.2397570077
666	0.2397242871
667	0.239666469
668	0.2396211277
669	0.2395859318
670	0.2395415923
671	0.2395267393
672	0.2394807172
673	0.23945516
674	0.2394098254
675	0.2394003964
676	0.2393763854
677	0.2392757548
678	0.2392204792
679	0.2391561242
680	0.2390319665
681	0.2389963294
682	0.2389543482
683	0.2389184742
684	0.2388579719
685	0.2387653174
686	0.2386492938
687	0.2386406039
688	0.2385894156
689	0.2385397215
690	0.2384383767
691	0.2384108934
692	0.2383724435
693	0.2383498688
694	0.2382647008
695	0.2381857551
696	0.2381712432
697	0.2381188722
698	0.2380333155
699	0.2380044571
700	0.2379314156
701	0.2378451194
702	0.2377631838
703	0.237738446
704	0.2376753591
705	0.2375978471
706	0.2375560512
707	0.2375272629
708	0.237467493
709	0.237439451
710	0.2374131541
711	0.2373941626
712	0.2373633794
713	0.2373347651
714	0.2373137513
715	0.2372774677
716	0.2372514284
717	0.237235984
718	0.2371691908
719	0.2370884825
720	0.2369935503
721	0.2369750948
722	0.2369021108
723	0.2368232186
724	0.2368028924
725	0.2367965042
726	0.2367758689
727	0.2367016967
728	0.2365977456
729	0.2365904138
730	0.2365241004
731	0.2364981209
732	0.2364725607
733	0.2364395555
734	0.2364133009
735	0.2363938855
736	0.2363089201
737	0.2362564126
738	0.2361755311
739	0.2361589098
740	0.2360972255
741	0.2360871234
742	0.2360132741
